episode,reward,reward_per_step,steps,rooms,charges,full_coverage,full_coverage_step,time_in_C,time_out_C,min_battery,hab1_visits,hab2_visits,hab3_visits,room_std,room_spread,recharge_battery_mean,recharge_battery_min,recharge_battery_max,recharge_battery_std,first_recharge_step,recharge_gap_mean,recharge_gap_min,recharge_gap_max,recharge_from_hab1,recharge_from_hab2,recharge_from_hab3,recharge_from_other
40,13.500000000000004,0.2700000000000001,50,3,14,1,11,0.52,0.48,100.0,8,7,9,0.8164966106414795,2.0,100.0,100.0,100.0,0.0,1,3.6153846153846154,2.0,7.0,5,5,3,1
41,13.500000000000004,0.2700000000000001,50,3,18,1,16,0.56,0.43999999999999995,100.0,7,8,7,0.4714045226573944,1.0,100.0,100.0,100.0,0.0,1,2.823529411764706,2.0,6.0,6,7,4,1
42,13.500000000000004,0.2700000000000001,50,3,16,1,15,0.46,0.54,100.0,9,8,10,0.8164966106414795,2.0,100.0,100.0,100.0,0.0,1,3.2,2.0,6.0,6,5,4,1
43,13.500000000000004,0.2700000000000001,50,3,20,1,9,0.52,0.48,100.0,8,8,8,0.0,0.0,100.0,100.0,100.0,0.0,1,2.5789473684210527,2.0,4.0,7,7,5,1
44,13.500000000000004,0.2700000000000001,50,3,20,1,15,0.54,0.45999999999999996,100.0,8,4,11,2.8674418926239014,7.0,100.0,100.0,100.0,0.0,1,2.526315789473684,2.0,5.0,7,4,8,1
45,13.500000000000004,0.2700000000000001,50,3,20,1,9,0.52,0.48,100.0,6,11,7,2.1602468490600586,5.0,100.0,100.0,100.0,0.0,1,2.526315789473684,2.0,4.0,6,8,5,1
46,13.400000000000004,0.26800000000000007,50,3,20,1,9,0.48,0.52,100.0,10,8,8,0.9428090453147888,2.0,100.0,100.0,100.0,0.0,1,2.5789473684210527,2.0,4.0,8,7,4,1
47,13.500000000000004,0.2700000000000001,50,3,19,1,14,0.52,0.48,100.0,4,10,10,2.8284270763397217,6.0,100.0,100.0,100.0,0.0,1,2.7222222222222223,2.0,6.0,4,8,6,1
48,13.400000000000004,0.26800000000000007,50,3,16,1,17,0.5,0.5,100.0,13,6,6,3.2998316287994385,7.0,100.0,100.0,100.0,0.0,1,3.2666666666666666,2.0,7.0,6,6,3,1
49,13.500000000000004,0.2700000000000001,50,3,16,1,13,0.46,0.54,100.0,10,7,10,1.4142135381698608,3.0,100.0,100.0,100.0,0.0,1,3.2,2.0,6.0,6,4,5,1
50,13.500000000000004,0.2700000000000001,50,3,19,1,13,0.6,0.4,100.0,7,4,9,2.054804563522339,5.0,100.0,100.0,100.0,0.0,1,2.7222222222222223,2.0,5.0,7,4,7,1
51,13.500000000000004,0.2700000000000001,50,3,20,1,9,0.48,0.52,100.0,7,8,11,1.699673056602478,4.0,100.0,100.0,100.0,0.0,1,2.5789473684210527,2.0,5.0,7,6,6,1
52,13.400000000000006,0.2680000000000001,50,3,16,1,13,0.5,0.5,100.0,10,7,8,1.2472190856933594,3.0,100.0,100.0,100.0,0.0,1,3.2666666666666666,2.0,6.0,5,6,4,1
53,13.500000000000005,0.27000000000000013,50,3,15,1,13,0.5,0.5,100.0,6,7,12,2.624669313430786,6.0,100.0,100.0,100.0,0.0,1,3.2857142857142856,2.0,5.0,4,6,4,1
54,13.400000000000006,0.2680000000000001,50,3,17,1,9,0.48,0.52,100.0,9,11,6,2.054804563522339,5.0,100.0,100.0,100.0,0.0,1,3.0625,2.0,6.0,6,6,4,1
55,13.500000000000004,0.2700000000000001,50,3,18,1,11,0.46,0.54,100.0,9,9,9,0.0,0.0,100.0,100.0,100.0,0.0,1,2.823529411764706,2.0,5.0,8,7,2,1
56,13.500000000000005,0.27000000000000013,50,3,18,1,9,0.54,0.45999999999999996,100.0,6,8,9,1.2472190856933594,3.0,100.0,100.0,100.0,0.0,1,2.764705882352941,2.0,4.0,6,7,4,1
