reward,steps,rooms,charges,full_coverage,time_in_C,min_battery
26.0,50,3,17,1,0.46,100.0
26.0,50,3,16,1,0.48,100.0
26.0,50,3,17,1,0.46,100.0
26.0,50,3,17,1,0.48,100.0
26.0,50,3,16,1,0.52,100.0
27.0,50,3,17,1,0.5,100.0
26.0,50,3,18,1,0.5,100.0
26.0,50,3,18,1,0.48,100.0
26.0,50,3,18,1,0.48,100.0
26.0,50,3,18,1,0.48,100.0
26.0,50,3,18,1,0.5,100.0
26.0,50,3,18,1,0.52,100.0
26.0,50,3,17,1,0.48,100.0
26.0,50,3,17,1,0.46,100.0
26.0,50,3,18,1,0.48,100.0
25.0,50,3,15,1,0.44,100.0
25.0,50,3,16,1,0.48,100.0
26.0,50,3,16,1,0.46,100.0
26.0,50,3,18,1,0.5,100.0
26.0,50,3,16,1,0.46,100.0
26.0,50,3,18,1,0.48,100.0
26.0,50,3,17,1,0.48,100.0
26.0,50,3,17,1,0.5,100.0
26.0,50,3,17,1,0.48,100.0
26.0,50,3,18,1,0.52,100.0
26.0,50,3,16,1,0.44,100.0
26.0,50,3,16,1,0.5,100.0
