episode,reward,reward_per_step,steps,rooms,charges,full_coverage,full_coverage_step,time_in_C,time_out_C,min_battery,hab1_visits,hab2_visits,hab3_visits,room_std,room_spread,recharge_battery_mean,recharge_battery_min,recharge_battery_max,recharge_battery_std,first_recharge_step,recharge_gap_mean,recharge_gap_min,recharge_gap_max,recharge_from_hab1,recharge_from_hab2,recharge_from_hab3,recharge_from_other,mean_action_elapsed_s,episode_elapsed_s
12,4.87959186732769,0.0975918373465538,50,3,12,1,15,0.28,0.72,91.0,13,6,17,4.546060562133789,11.0,99.25,91.0,100.0,2.48746859276655,2,4.363636363636363,2.0,12.0,6,5,1,0,2.7689999999974817,138.44999999987408
13,4.87959186732769,0.0975918373465538,50,3,14,1,15,0.3,0.7,100.0,10,8,17,3.858612298965454,9.0,100.0,100.0,100.0,0.0,2,3.6153846153846154,2.0,7.0,9,5,0,0,2.9549999999973124,147.74999999986562
14,4.87959186732769,0.0975918373465538,50,3,12,1,26,0.28,0.72,100.0,11,7,18,4.546060562133789,11.0,100.0,100.0,100.0,0.0,2,4.2727272727272725,2.0,7.0,6,4,2,0,2.702999999997542,135.14999999987708
15,4.092802834808826,0.08185605669617653,50,3,14,1,19,0.28,0.72,100.0,13,6,17,4.546060562133789,11.0,100.0,100.0,100.0,0.0,4,3.5384615384615383,2.0,5.0,8,4,2,0,3.3929999999969143,169.6499999998457
16,4.092802834808826,0.08185605669617653,50,3,14,1,22,0.34,0.6599999999999999,100.0,10,7,16,3.7416574954986572,9.0,100.0,100.0,100.0,0.0,2,3.3846153846153846,2.0,8.0,8,6,0,0,3.1829999999971053,159.14999999985525
17,4.87959186732769,0.0975918373465538,50,3,11,1,17,0.28,0.72,100.0,14,6,16,4.320493698120117,10.0,100.0,100.0,100.0,0.0,6,4.2,3.0,9.0,7,3,1,0,3.434999999996876,171.7499999998438
18,4.092802834808826,0.08185605669617653,50,3,11,1,19,0.28,0.72,100.0,14,7,15,3.5590262413024902,8.0,100.0,100.0,100.0,0.0,2,4.8,2.0,10.0,8,3,0,0,2.9819999999972877,149.0999999998644
19,5.246666716337204,0.10493333432674408,50,3,10,1,16,0.28,0.72,100.0,12,8,16,3.265986442565918,8.0,100.0,100.0,100.0,0.0,4,4.444444444444445,3.0,6.0,5,5,0,0,2.6789999999975636,133.94999999987817
20,4.87959186732769,0.0975918373465538,50,3,12,1,22,0.32,0.6799999999999999,100.0,11,5,18,5.312459468841553,13.0,100.0,100.0,100.0,0.0,2,3.909090909090909,2.0,10.0,9,2,1,0,3.260999999997034,163.0499999998517
21,4.092802834808826,0.08185605669617653,50,3,14,1,17,0.34,0.6599999999999999,100.0,10,8,15,2.943920373916626,7.0,100.0,100.0,100.0,0.0,2,3.6923076923076925,2.0,8.0,10,3,1,0,3.4859999999968294,174.29999999984148
22,4.87959186732769,0.0975918373465538,50,3,14,1,19,0.28,0.72,100.0,12,6,18,4.898979663848877,12.0,100.0,100.0,100.0,0.0,2,3.5384615384615383,2.0,5.0,9,4,1,0,3.4859999999968294,174.29999999984148
23,4.87959186732769,0.0975918373465538,50,3,13,1,14,0.32,0.6799999999999999,100.0,11,6,17,4.496912479400635,11.0,100.0,100.0,100.0,0.0,4,3.6666666666666665,2.0,5.0,7,5,1,0,3.0539999999972225,152.69999999986112
24,4.7571428790688515,0.09514285758137703,50,3,10,1,31,0.24,0.76,100.0,14,5,19,5.792716026306152,14.0,100.0,100.0,100.0,0.0,4,4.444444444444445,2.0,11.0,4,3,3,0,2.684999999997558,134.2499999998779
