episode,reward,reward_per_step,steps,rooms,charges,full_coverage,full_coverage_step,time_in_C,time_out_C,min_battery,hab1_visits,hab2_visits,hab3_visits,room_std,room_spread,recharge_battery_mean,recharge_battery_min,recharge_battery_max,recharge_battery_std,first_recharge_step,recharge_gap_mean,recharge_gap_min,recharge_gap_max,recharge_from_hab1,recharge_from_hab2,recharge_from_hab3,recharge_from_other
72,16.200000000000006,0.3240000000000001,50,3,16,1,4,0.38,0.62,100.0,10,8,13,2.054804563522339,5.0,100.0,100.0,100.0,0.0,3,3.0,2.0,4.0,8,4,4,0
73,16.200000000000003,0.32400000000000007,50,3,16,1,4,0.36,0.64,100.0,12,9,11,1.2472190856933594,3.0,100.0,100.0,100.0,0.0,3,3.1333333333333333,2.0,5.0,10,4,2,0
74,17.400000000000006,0.3480000000000001,50,3,16,1,4,0.34,0.6599999999999999,100.0,11,10,12,0.8164966106414795,2.0,100.0,100.0,100.0,0.0,3,2.933333333333333,2.0,4.0,10,4,2,0
75,16.200000000000006,0.3240000000000001,50,3,17,1,7,0.44,0.56,100.0,10,10,8,0.9428090453147888,2.0,100.0,100.0,100.0,0.0,3,2.9375,2.0,5.0,9,7,1,0
76,17.40000000000001,0.3480000000000002,50,3,15,1,4,0.42,0.5800000000000001,100.0,8,9,12,1.699673056602478,4.0,100.0,100.0,100.0,0.0,3,3.2857142857142856,2.0,5.0,8,6,1,0
77,16.200000000000006,0.3240000000000001,50,3,17,1,4,0.44,0.56,100.0,9,10,9,0.471404492855072,1.0,100.0,100.0,100.0,0.0,3,2.9375,2.0,4.0,9,6,2,0
78,16.200000000000006,0.3240000000000001,50,3,19,1,4,0.4,0.6,100.0,8,11,11,1.4142135381698608,3.0,100.0,100.0,100.0,0.0,3,2.611111111111111,2.0,4.0,8,8,3,0
79,17.400000000000006,0.3480000000000001,50,3,16,1,4,0.36,0.64,73.0,11,12,9,1.247219204902649,3.0,99.625,94.0,100.0,1.4523687548277813,3,2.933333333333333,2.0,6.0,8,6,2,0
80,16.200000000000006,0.3240000000000001,50,3,17,1,4,0.36,0.64,100.0,8,11,13,2.054804563522339,5.0,100.0,100.0,100.0,0.0,3,2.8125,2.0,4.0,7,6,4,0
81,16.200000000000006,0.3240000000000001,50,3,19,1,4,0.48,0.52,100.0,9,9,8,0.471404492855072,1.0,100.0,100.0,100.0,0.0,3,2.611111111111111,2.0,4.0,9,8,2,0
82,18.600000000000005,0.3720000000000001,50,3,17,1,4,0.46,0.54,100.0,7,7,13,2.8284270763397217,6.0,100.0,100.0,100.0,0.0,3,2.8125,2.0,4.0,6,6,5,0
83,17.400000000000006,0.3480000000000001,50,3,16,1,13,0.38,0.62,100.0,7,12,12,2.357022523880005,5.0,100.0,100.0,100.0,0.0,3,2.933333333333333,2.0,4.0,7,7,2,0
84,16.200000000000006,0.3240000000000001,50,3,18,1,4,0.42,0.5800000000000001,100.0,8,13,8,2.357022523880005,5.0,100.0,100.0,100.0,0.0,3,2.764705882352941,2.0,4.0,8,8,2,0
85,16.200000000000006,0.3240000000000001,50,3,19,1,4,0.48,0.52,100.0,9,10,7,1.247219204902649,3.0,100.0,100.0,100.0,0.0,3,2.611111111111111,2.0,4.0,9,8,2,0
86,16.200000000000006,0.3240000000000001,50,3,15,1,4,0.34,0.6599999999999999,100.0,11,10,12,0.8164966106414795,2.0,100.0,100.0,100.0,0.0,3,3.142857142857143,2.0,4.0,9,3,3,0
87,16.200000000000006,0.3240000000000001,50,3,15,1,9,0.36,0.64,100.0,11,10,11,0.471404492855072,1.0,100.0,100.0,100.0,0.0,4,3.2857142857142856,2.0,5.0,9,4,2,0
88,17.400000000000002,0.34800000000000003,50,3,14,1,4,0.34,0.6599999999999999,100.0,11,11,11,0.0,0.0,100.0,100.0,100.0,0.0,3,3.3846153846153846,2.0,5.0,9,3,2,0
89,16.200000000000003,0.32400000000000007,50,3,14,1,6,0.36,0.64,100.0,12,10,10,0.9428090453147888,2.0,100.0,100.0,100.0,0.0,4,3.3846153846153846,2.0,5.0,8,3,3,0
90,17.400000000000002,0.34800000000000003,50,3,16,1,5,0.42,0.5800000000000001,100.0,9,10,10,0.471404492855072,1.0,100.0,100.0,100.0,0.0,4,3.0,2.0,4.0,8,5,3,0
91,16.200000000000006,0.3240000000000001,50,3,17,1,5,0.38,0.62,100.0,10,10,11,0.471404492855072,1.0,100.0,100.0,100.0,0.0,4,2.6875,2.0,4.0,9,6,2,0
92,16.200000000000006,0.3240000000000001,50,3,14,1,5,0.3,0.7,100.0,11,11,13,0.9428090453147888,2.0,100.0,100.0,100.0,0.0,4,3.5384615384615383,2.0,5.0,8,6,0,0
93,16.200000000000006,0.3240000000000001,50,3,15,1,5,0.4,0.6,100.0,11,9,10,0.8164966106414795,2.0,100.0,100.0,100.0,0.0,4,3.2142857142857144,2.0,5.0,8,5,2,0
94,16.200000000000003,0.32400000000000007,50,3,14,1,8,0.3,0.7,100.0,8,15,12,2.8674418926239014,7.0,100.0,100.0,100.0,0.0,3,3.3846153846153846,2.0,6.0,8,4,2,0
95,17.400000000000002,0.34800000000000003,50,3,16,1,4,0.36,0.64,100.0,8,11,13,2.054804563522339,5.0,100.0,100.0,100.0,0.0,3,2.933333333333333,2.0,4.0,8,6,2,0
96,16.200000000000006,0.3240000000000001,50,3,17,1,4,0.38,0.62,100.0,8,13,10,2.054804563522339,5.0,100.0,100.0,100.0,0.0,3,2.9375,2.0,4.0,8,6,3,0
97,17.400000000000006,0.3480000000000001,50,3,16,1,8,0.4,0.6,100.0,8,9,13,2.1602468490600586,5.0,100.0,100.0,100.0,0.0,3,3.066666666666667,2.0,5.0,7,7,2,0
98,17.400000000000006,0.3480000000000001,50,3,16,1,7,0.36,0.64,100.0,7,10,15,3.2998316287994385,8.0,100.0,100.0,100.0,0.0,3,2.933333333333333,2.0,4.0,7,5,4,0
99,16.000000000000004,0.32000000000000006,50,3,13,1,4,0.3,0.7,100.0,9,13,13,1.885617971420288,4.0,100.0,100.0,100.0,0.0,3,3.5,2.0,6.0,5,5,3,0
100,16.000000000000007,0.3200000000000001,50,3,15,1,9,0.42,0.5800000000000001,100.0,9,12,8,1.699673056602478,4.0,100.0,100.0,100.0,0.0,4,3.2142857142857144,2.0,4.0,7,6,2,0
101,16.200000000000003,0.32400000000000007,50,3,15,1,9,0.38,0.62,100.0,11,12,8,1.699673056602478,4.0,100.0,100.0,100.0,0.0,4,3.2857142857142856,2.0,5.0,9,5,1,0
102,16.200000000000003,0.32400000000000007,50,3,14,1,9,0.38,0.62,100.0,12,11,8,1.699673056602478,4.0,100.0,100.0,100.0,0.0,3,3.4615384615384617,2.0,5.0,10,3,1,0
103,17.400000000000002,0.34800000000000003,50,3,14,1,4,0.3,0.7,65.0,10,11,14,1.699673056602478,4.0,97.5,68.0,100.0,8.218011577365555,3,3.3846153846153846,2.0,6.0,8,4,2,0
104,16.20000000000001,0.3240000000000002,50,3,16,1,5,0.46,0.54,100.0,8,7,12,2.1602468490600586,5.0,100.0,100.0,100.0,0.0,3,3.1333333333333333,2.0,5.0,8,5,3,0
105,16.200000000000003,0.32400000000000007,50,3,13,1,10,0.3,0.7,100.0,10,14,11,1.699673056602478,4.0,100.0,100.0,100.0,0.0,4,3.6666666666666665,2.0,5.0,7,6,0,0
106,16.200000000000006,0.3240000000000001,50,3,16,1,4,0.44,0.56,100.0,11,11,6,2.357022523880005,5.0,100.0,100.0,100.0,0.0,3,3.1333333333333333,2.0,4.0,9,6,1,0
107,17.400000000000002,0.34800000000000003,50,3,15,1,4,0.36,0.64,100.0,10,10,12,0.9428090453147888,2.0,100.0,100.0,100.0,0.0,3,3.2142857142857144,2.0,6.0,9,5,1,0
108,16.200000000000003,0.32400000000000007,50,3,14,1,8,0.38,0.62,100.0,10,10,11,0.471404492855072,1.0,100.0,100.0,100.0,0.0,3,3.5384615384615383,2.0,6.0,7,5,2,0
109,16.200000000000003,0.32400000000000007,50,3,15,1,13,0.32,0.6799999999999999,100.0,7,14,13,3.0912060737609863,7.0,100.0,100.0,100.0,0.0,3,3.357142857142857,3.0,5.0,6,7,2,0
110,17.400000000000002,0.34800000000000003,50,3,15,1,14,0.36,0.64,92.0,8,9,15,3.0912060737609863,7.0,99.66666666666667,95.0,100.0,1.247219128924647,3,3.2857142857142856,2.0,6.0,7,6,2,0
111,16.200000000000003,0.32400000000000007,50,3,16,1,4,0.36,0.64,100.0,12,9,11,1.2472190856933594,3.0,100.0,100.0,100.0,0.0,3,3.0,2.0,4.0,9,5,2,0
112,17.400000000000002,0.34800000000000003,50,3,15,1,5,0.4,0.6,100.0,9,12,9,1.4142135381698608,3.0,100.0,100.0,100.0,0.0,4,3.0714285714285716,2.0,4.0,9,5,1,0
113,16.200000000000006,0.3240000000000001,50,3,18,1,13,0.46,0.54,100.0,8,13,6,2.943920373916626,7.0,100.0,100.0,100.0,0.0,3,2.764705882352941,2.0,4.0,7,9,2,0
114,16.200000000000003,0.32400000000000007,50,3,14,1,4,0.3,0.7,100.0,11,14,10,1.699673056602478,4.0,100.0,100.0,100.0,0.0,3,3.4615384615384617,2.0,5.0,8,5,1,0
115,16.200000000000006,0.3240000000000001,50,3,15,1,14,0.42,0.5800000000000001,100.0,7,11,11,1.885617971420288,4.0,100.0,100.0,100.0,0.0,3,3.357142857142857,2.0,6.0,6,7,2,0
116,16.200000000000006,0.3240000000000001,50,3,15,1,5,0.46,0.54,100.0,13,7,7,2.8284270763397217,6.0,100.0,100.0,100.0,0.0,4,3.2857142857142856,2.0,5.0,10,4,1,0
117,16.200000000000003,0.32400000000000007,50,3,15,1,5,0.36,0.64,100.0,11,11,10,0.471404492855072,1.0,100.0,100.0,100.0,0.0,3,3.2142857142857144,2.0,5.0,9,5,1,0
118,16.200000000000006,0.3240000000000001,50,3,16,1,9,0.44,0.56,100.0,10,9,9,0.471404492855072,1.0,100.0,100.0,100.0,0.0,3,3.1333333333333333,2.0,5.0,8,5,3,0
119,17.400000000000002,0.34800000000000003,50,3,14,1,9,0.38,0.62,100.0,8,11,12,1.699673056602478,4.0,100.0,100.0,100.0,0.0,4,3.3846153846153846,2.0,5.0,6,7,1,0
120,16.200000000000003,0.32400000000000007,50,3,12,1,5,0.36,0.64,100.0,12,9,11,1.2472190856933594,3.0,100.0,100.0,100.0,0.0,4,4.0,2.0,7.0,8,3,1,0
121,17.400000000000006,0.3480000000000001,50,3,16,1,12,0.48,0.52,100.0,7,12,7,2.357022523880005,5.0,100.0,100.0,100.0,0.0,3,3.066666666666667,2.0,5.0,7,7,2,0
122,17.400000000000006,0.3480000000000001,50,3,14,1,4,0.36,0.64,71.0,12,14,6,3.399346113204956,8.0,99.5,93.0,100.0,1.8027756377319946,3,3.3846153846153846,2.0,6.0,9,4,1,0
123,16.200000000000003,0.32400000000000007,50,3,15,1,7,0.4,0.6,100.0,12,10,8,1.632993221282959,4.0,100.0,100.0,100.0,0.0,3,3.357142857142857,2.0,5.0,8,6,1,0
124,18.600000000000005,0.3720000000000001,50,3,15,1,5,0.48,0.52,100.0,13,5,8,3.2998316287994385,8.0,100.0,100.0,100.0,0.0,3,3.142857142857143,2.0,4.0,10,4,1,0
125,16.200000000000006,0.3240000000000001,50,3,13,1,4,0.38,0.62,100.0,12,9,10,1.2472190856933594,3.0,100.0,100.0,100.0,0.0,3,3.75,2.0,7.0,7,3,3,0
126,17.400000000000006,0.3480000000000001,50,3,14,1,8,0.42,0.5800000000000001,100.0,10,7,12,2.054804563522339,5.0,100.0,100.0,100.0,0.0,3,3.3846153846153846,2.0,5.0,8,4,2,0
127,17.400000000000006,0.3480000000000001,50,3,15,1,4,0.38,0.62,100.0,11,8,12,1.699673056602478,4.0,100.0,100.0,100.0,0.0,3,3.142857142857143,2.0,5.0,9,3,3,0
128,17.400000000000006,0.3480000000000001,50,3,17,1,13,0.46,0.54,100.0,7,10,10,1.4142135381698608,3.0,100.0,100.0,100.0,0.0,3,2.875,2.0,4.0,7,8,2,0
129,16.200000000000006,0.3240000000000001,50,3,13,1,13,0.34,0.6599999999999999,100.0,11,12,10,0.8164966106414795,2.0,100.0,100.0,100.0,0.0,3,3.75,2.0,5.0,9,3,1,0
130,16.000000000000007,0.3200000000000001,50,3,13,1,5,0.36,0.64,100.0,12,11,9,1.247219204902649,3.0,100.0,100.0,100.0,0.0,4,3.75,2.0,5.0,9,2,2,0
