episode,reward,reward_per_step,steps,rooms,charges,full_coverage,full_coverage_step,time_in_C,time_out_C,min_battery,hab1_visits,hab2_visits,hab3_visits,room_std,room_spread
162,18.8,0.376,50,3,12,1,3,0.26,0.74,100.0,13,11,13,0.9428090453147888,2.0
163,18.8,0.376,50,3,12,1,3,0.24,0.76,100.0,12,11,15,1.699673056602478,4.0
164,18.799999999999997,0.37599999999999995,50,3,12,1,3,0.24,0.76,83.0,10,15,13,2.054804563522339,5.0
165,18.8,0.376,50,3,13,1,3,0.26,0.74,100.0,12,10,15,2.054804563522339,5.0
166,20.2,0.40399999999999997,50,3,12,1,3,0.24,0.76,75.0,10,14,14,1.885617971420288,4.0
167,18.8,0.376,50,3,13,1,3,0.26,0.74,100.0,12,11,14,1.247219204902649,3.0
168,18.799999999999997,0.37599999999999995,50,3,12,1,3,0.26,0.74,91.0,13,11,13,0.9428090453147888,2.0
169,18.799999999999997,0.37599999999999995,50,3,12,1,3,0.26,0.74,81.0,13,12,12,0.471404492855072,1.0
170,18.799999999999997,0.37599999999999995,50,3,12,1,3,0.24,0.76,81.0,12,11,15,1.699673056602478,4.0
171,18.799999999999997,0.37599999999999995,50,3,12,1,3,0.24,0.76,84.0,13,12,13,0.471404492855072,1.0
172,18.8,0.376,50,3,13,1,3,0.3,0.7,100.0,11,11,13,0.9428090453147888,2.0
173,20.2,0.40399999999999997,50,3,12,1,3,0.28,0.72,100.0,11,14,11,1.4142135381698608,3.0
174,18.8,0.376,50,3,12,1,3,0.28,0.72,100.0,13,11,12,0.8164966106414795,2.0
175,18.8,0.376,50,3,13,1,3,0.28,0.72,100.0,11,11,14,1.4142135381698608,3.0
176,18.799999999999997,0.37599999999999995,50,3,12,1,3,0.26,0.74,84.0,13,10,14,1.699673056602478,4.0
177,18.8,0.376,50,3,13,1,3,0.28,0.72,100.0,12,11,13,0.8164966106414795,2.0
178,19.299999999999997,0.38599999999999995,50,3,12,1,3,0.26,0.74,29.0,12,11,14,1.247219204902649,3.0
179,18.799999999999997,0.37599999999999995,50,3,12,1,3,0.28,0.72,82.0,12,14,10,1.632993221282959,4.0
180,18.799999999999997,0.37599999999999995,50,3,11,1,3,0.24,0.76,83.0,13,14,11,1.247219204902649,3.0
181,18.799999999999997,0.37599999999999995,50,3,12,1,3,0.28,0.72,85.0,12,13,11,0.8164966106414795,2.0
182,18.8,0.376,50,3,13,1,3,0.28,0.72,100.0,10,13,13,1.4142135381698608,3.0
183,18.8,0.376,50,3,13,1,3,0.32,0.6799999999999999,100.0,11,10,13,1.247219204902649,3.0
184,18.799999999999997,0.37599999999999995,50,3,12,1,3,0.24,0.76,82.0,12,13,13,0.471404492855072,1.0
