episode,reward,reward_per_step,steps,rooms,charges,full_coverage,full_coverage_step,time_in_C,time_out_C,min_battery,hab1_visits,hab2_visits,hab3_visits,room_std,room_spread,recharge_battery_mean,recharge_battery_min,recharge_battery_max,recharge_battery_std,first_recharge_step,recharge_gap_mean,recharge_gap_min,recharge_gap_max,recharge_from_hab1,recharge_from_hab2,recharge_from_hab3,recharge_from_other,mean_action_elapsed_s,episode_elapsed_s
49,7.891156300902367,0.15782312601804732,50,3,3,1,42.0,0.62,0.38,100,10,8,1,3.858612298965454,9.0,100.0,100.0,100.0,0.0,1,21.0,12.0,30.0,1,0,1,1,0.0,0.0
50,7.074829787015915,0.1414965957403183,50,2,4,0,,0.56,0.43999999999999995,100,13,9,0,5.436502456665039,13.0,100.0,100.0,100.0,0.0,1,12.666666666666666,3.0,31.0,3,0,0,1,0.0,0.0
51,7.891156300902367,0.15782312601804732,50,2,3,0,,0.62,0.38,100,12,7,0,4.921607971191406,12.0,100.0,100.0,100.0,0.0,1,18.0,6.0,30.0,2,0,0,1,0.0,0.0
52,7.074829787015915,0.1414965957403183,50,2,3,0,,0.58,0.42000000000000004,100,13,8,0,5.3541259765625,13.0,100.0,100.0,100.0,0.0,1,19.5,9.0,30.0,2,0,0,1,0.0,0.0
53,7.891156300902367,0.15782312601804732,50,3,4,1,42.0,0.6,0.4,100,12,7,1,4.496912479400635,11.0,100.0,100.0,100.0,0.0,1,14.0,6.0,30.0,2,0,1,1,0.0,0.0
54,7.074829787015915,0.1414965957403183,50,2,4,0,,0.58,0.42000000000000004,100,13,8,0,5.3541259765625,13.0,100.0,100.0,100.0,0.0,1,12.666666666666666,4.0,30.0,3,0,0,1,0.0,0.0
55,7.074829787015915,0.1414965957403183,50,2,4,0,,0.6,0.4,100,13,7,0,5.312459468841553,13.0,100.0,100.0,100.0,0.0,1,12.666666666666666,4.0,30.0,3,0,0,1,0.0,0.0
56,7.074829787015915,0.1414965957403183,50,2,4,0,,0.58,0.42000000000000004,100,13,8,0,5.3541259765625,13.0,100.0,100.0,100.0,0.0,1,12.666666666666666,4.0,30.0,3,0,0,1,0.0,0.0
57,7.074829787015915,0.1414965957403183,50,2,4,0,,0.58,0.42000000000000004,100,13,8,0,5.3541259765625,13.0,100.0,100.0,100.0,0.0,1,12.666666666666666,4.0,30.0,3,0,0,1,0.0,0.0
58,7.074829787015915,0.1414965957403183,50,2,3,0,,0.6,0.4,100,12,8,0,4.988876819610596,12.0,100.0,100.0,100.0,0.0,1,19.0,8.0,30.0,2,0,0,1,0.0,0.0
59,7.074829787015915,0.1414965957403183,50,2,4,0,,0.58,0.42000000000000004,100,14,7,0,5.715476036071777,14.0,100.0,100.0,100.0,0.0,1,12.666666666666666,3.0,31.0,3,0,0,1,0.0,0.0
60,7.074829787015915,0.1414965957403183,50,2,4,0,,0.6,0.4,100,13,7,0,5.312459468841553,13.0,100.0,100.0,100.0,0.0,1,12.666666666666666,4.0,30.0,3,0,0,1,0.0,0.0
61,7.891156300902367,0.15782312601804732,50,2,3,0,,0.58,0.42000000000000004,100,13,8,0,5.3541259765625,13.0,100.0,100.0,100.0,0.0,1,18.0,6.0,30.0,2,0,0,1,0.0,0.0
62,7.891156300902367,0.15782312601804732,50,3,3,1,42.0,0.64,0.36,100,10,7,1,3.7416574954986572,9.0,100.0,100.0,100.0,0.0,1,21.0,12.0,30.0,1,0,1,1,0.0,0.0
63,7.891156300902367,0.15782312601804732,50,3,4,1,42.0,0.58,0.42000000000000004,100,10,9,2,3.5590262413024902,8.0,100.0,100.0,100.0,0.0,1,14.333333333333334,4.0,30.0,2,0,1,1,0.0,0.0
64,7.891156300902367,0.15782312601804732,50,2,3,0,,0.6,0.4,100,12,8,0,4.988876819610596,12.0,100.0,100.0,100.0,0.0,1,17.5,5.0,30.0,2,0,0,1,0.0,0.0
65,7.074829787015915,0.1414965957403183,50,2,3,0,,0.54,0.45999999999999996,100,14,9,0,5.792716026306152,14.0,100.0,100.0,100.0,0.0,1,19.0,8.0,30.0,2,0,0,1,0.0,0.0
66,7.074829787015915,0.1414965957403183,50,2,4,0,,0.58,0.42000000000000004,100,14,7,0,5.715476036071777,14.0,100.0,100.0,100.0,0.0,1,13.0,4.0,30.0,3,0,0,1,0.0,0.0
67,7.074829787015915,0.1414965957403183,50,2,3,0,,0.58,0.42000000000000004,100,13,8,0,5.3541259765625,13.0,100.0,100.0,100.0,0.0,1,19.5,9.0,30.0,2,0,0,1,0.0,0.0
68,7.074829787015915,0.1414965957403183,50,2,3,0,,0.58,0.42000000000000004,100,13,8,0,5.3541259765625,13.0,100.0,100.0,100.0,0.0,1,19.5,9.0,30.0,2,0,0,1,0.0,0.0
69,7.074829787015915,0.1414965957403183,50,2,4,0,,0.58,0.42000000000000004,100,13,8,0,5.3541259765625,13.0,100.0,100.0,100.0,0.0,1,12.666666666666666,3.0,31.0,3,0,0,1,0.0,0.0
70,7.891156300902367,0.15782312601804732,50,3,4,1,42.0,0.56,0.43999999999999995,100,12,8,2,4.109609603881836,10.0,100.0,100.0,100.0,0.0,1,14.333333333333334,5.0,30.0,2,0,1,1,0.0,0.0
71,7.074829787015915,0.1414965957403183,50,2,3,0,,0.6,0.4,100,11,9,0,4.784233093261719,11.0,100.0,100.0,100.0,0.0,1,19.0,8.0,30.0,2,0,0,1,0.0,0.0
72,7.891156300902367,0.15782312601804732,50,3,4,1,42.0,0.54,0.45999999999999996,100,13,8,2,4.496912479400635,11.0,100.0,100.0,100.0,0.0,1,14.333333333333334,6.0,30.0,2,0,1,1,0.0,0.0
73,7.074829787015915,0.1414965957403183,50,2,4,0,,0.54,0.45999999999999996,100,15,8,0,6.12825870513916,15.0,100.0,100.0,100.0,0.0,1,13.0,3.0,31.0,3,0,0,1,0.0,0.0
74,7.074829787015915,0.1414965957403183,50,2,4,0,,0.58,0.42000000000000004,100,13,8,0,5.3541259765625,13.0,100.0,100.0,100.0,0.0,1,12.666666666666666,3.0,31.0,3,0,0,1,0.0,0.0
75,7.074829787015915,0.1414965957403183,50,2,3,0,,0.56,0.43999999999999995,100,14,8,0,5.734883785247803,14.0,100.0,100.0,100.0,0.0,1,18.5,7.0,30.0,2,0,0,1,0.0,0.0
76,7.891156300902367,0.15782312601804732,50,3,3,1,42.0,0.64,0.36,100,9,8,1,3.5590262413024902,8.0,100.0,100.0,100.0,0.0,1,21.0,12.0,30.0,1,0,1,1,0.0,0.0
77,7.074829787015915,0.1414965957403183,50,2,3,0,,0.6,0.4,100,11,9,0,4.784233093261719,11.0,100.0,100.0,100.0,0.0,1,19.0,8.0,30.0,2,0,0,1,0.0,0.0
78,7.074829787015915,0.1414965957403183,50,2,4,0,,0.56,0.43999999999999995,100,14,8,0,5.734883785247803,14.0,100.0,100.0,100.0,0.0,1,13.0,3.0,31.0,3,0,0,1,0.0,0.0
79,7.891156300902367,0.15782312601804732,50,3,3,1,42.0,0.62,0.38,100,9,9,1,3.7712361812591553,8.0,100.0,100.0,100.0,0.0,1,21.0,12.0,30.0,1,0,1,1,0.0,0.0
80,7.891156300902367,0.15782312601804732,50,3,4,1,42.0,0.56,0.43999999999999995,100,12,8,2,4.109609603881836,10.0,100.0,100.0,100.0,0.0,1,14.333333333333334,3.0,31.0,2,0,1,1,0.0,0.0
81,7.074829787015915,0.1414965957403183,50,2,3,0,,0.6,0.4,100,12,8,0,4.988876819610596,12.0,100.0,100.0,100.0,0.0,1,19.5,9.0,30.0,2,0,0,1,0.0,0.0
82,7.891156300902367,0.15782312601804732,50,3,4,1,42.0,0.54,0.45999999999999996,100,13,8,2,4.496912479400635,11.0,100.0,100.0,100.0,0.0,1,14.333333333333334,6.0,30.0,2,0,1,1,0.0,0.0
83,7.074829787015915,0.1414965957403183,50,2,4,0,,0.56,0.43999999999999995,100,13,9,0,5.436502456665039,13.0,100.0,100.0,100.0,0.0,1,13.0,4.0,30.0,3,0,0,1,0.0,0.0
84,7.891156300902367,0.15782312601804732,50,3,4,1,42.0,0.54,0.45999999999999996,100,14,8,1,5.312459468841553,13.0,100.0,100.0,100.0,0.0,1,14.0,5.0,31.0,2,0,1,1,0.0,0.0
85,7.074829787015915,0.1414965957403183,50,2,4,0,,0.62,0.38,100,12,7,0,4.921607971191406,12.0,100.0,100.0,100.0,0.0,1,12.666666666666666,4.0,30.0,3,0,0,1,0.0,0.0
86,7.074829787015915,0.1414965957403183,50,2,4,0,,0.6,0.4,100,13,7,0,5.312459468841553,13.0,100.0,100.0,100.0,0.0,1,12.666666666666666,4.0,30.0,3,0,0,1,0.0,0.0
87,7.074829787015915,0.1414965957403183,50,2,4,0,,0.56,0.43999999999999995,100,14,8,0,5.734883785247803,14.0,100.0,100.0,100.0,0.0,1,12.666666666666666,3.0,31.0,3,0,0,1,0.0,0.0
88,7.891156300902367,0.15782312601804732,50,2,2,0,,0.64,0.36,100,11,7,0,4.546060562133789,11.0,100.0,100.0,100.0,0.0,1,31.0,31.0,31.0,1,0,0,1,0.0,0.0
89,7.074829787015915,0.1414965957403183,50,2,3,0,,0.56,0.43999999999999995,100,14,8,0,5.734883785247803,14.0,100.0,100.0,100.0,0.0,1,19.5,8.0,31.0,2,0,0,1,0.0,0.0
90,7.891156300902367,0.15782312601804732,50,3,4,1,42.0,0.56,0.43999999999999995,100,12,9,1,4.642796039581299,11.0,100.0,100.0,100.0,0.0,1,14.0,5.0,31.0,2,0,1,1,0.0,0.0
91,7.891156300902367,0.15782312601804732,50,2,2,0,,0.66,0.33999999999999997,100,9,8,0,4.027682304382324,9.0,100.0,100.0,100.0,0.0,1,30.0,30.0,30.0,1,0,0,1,0.0,0.0
92,7.074829787015915,0.1414965957403183,50,2,4,0,,0.58,0.42000000000000004,100,13,8,0,5.3541259765625,13.0,100.0,100.0,100.0,0.0,1,12.666666666666666,4.0,30.0,3,0,0,1,0.0,0.0
93,7.891156300902367,0.15782312601804732,50,3,4,1,43.0,0.62,0.38,100,11,7,1,4.109609603881836,10.0,100.0,100.0,100.0,0.0,1,14.333333333333334,4.0,30.0,2,0,1,1,0.0,0.0
94,7.074829787015915,0.1414965957403183,50,2,4,0,,0.56,0.43999999999999995,100,13,9,0,5.436502456665039,13.0,100.0,100.0,100.0,0.0,1,12.666666666666666,3.0,31.0,3,0,0,1,0.0,0.0
95,7.891156300902367,0.15782312601804732,50,3,3,1,42.0,0.62,0.38,100,9,9,1,3.7712361812591553,8.0,100.0,100.0,100.0,0.0,1,21.0,12.0,30.0,1,0,1,1,0.0,0.0
96,7.074829787015915,0.1414965957403183,50,2,4,0,,0.56,0.43999999999999995,100,14,8,0,5.734883785247803,14.0,100.0,100.0,100.0,0.0,1,13.0,4.0,30.0,3,0,0,1,0.0,0.0
97,7.074829787015915,0.1414965957403183,50,2,4,0,,0.58,0.42000000000000004,100,14,7,0,5.715476036071777,14.0,100.0,100.0,100.0,0.0,1,12.666666666666666,3.0,31.0,3,0,0,1,0.0,0.0
98,7.074829787015915,0.1414965957403183,50,2,3,0,,0.52,0.48,100,16,8,0,6.531972885131836,16.0,100.0,100.0,100.0,0.0,1,19.5,9.0,30.0,2,0,0,1,0.0,0.0
99,7.891156300902367,0.15782312601804732,50,3,4,1,42.0,0.58,0.42000000000000004,100,11,8,2,3.7416574954986572,9.0,100.0,100.0,100.0,0.0,1,14.333333333333334,4.0,30.0,2,0,1,1,0.0,0.0
100,7.891156300902367,0.15782312601804732,50,3,4,1,42.0,0.58,0.42000000000000004,100,12,8,1,4.546060562133789,11.0,100.0,100.0,100.0,0.0,1,14.0,3.0,31.0,2,0,1,1,0.0,0.0
101,7.074829787015915,0.1414965957403183,50,2,3,0,,0.58,0.42000000000000004,100,12,9,0,5.099019527435303,12.0,100.0,100.0,100.0,0.0,1,19.5,9.0,30.0,2,0,0,1,0.0,0.0
102,7.074829787015915,0.1414965957403183,50,2,3,0,,0.54,0.45999999999999996,100,15,8,0,6.12825870513916,15.0,100.0,100.0,100.0,0.0,1,19.5,9.0,30.0,2,0,0,1,0.0,0.0
103,7.074829787015915,0.1414965957403183,50,2,4,0,,0.58,0.42000000000000004,100,12,9,0,5.099019527435303,12.0,100.0,100.0,100.0,0.0,1,12.666666666666666,4.0,30.0,3,0,0,1,0.0,0.0
104,7.074829787015915,0.1414965957403183,50,2,4,0,,0.58,0.42000000000000004,100,13,8,0,5.3541259765625,13.0,100.0,100.0,100.0,0.0,1,12.666666666666666,4.0,30.0,3,0,0,1,0.0,0.0
105,7.074829787015915,0.1414965957403183,50,2,4,0,,0.56,0.43999999999999995,100,15,7,0,6.12825870513916,15.0,100.0,100.0,100.0,0.0,1,13.0,3.0,31.0,3,0,0,1,0.0,0.0
106,7.074829787015915,0.1414965957403183,50,2,3,0,,0.54,0.45999999999999996,100,14,9,0,5.792716026306152,14.0,100.0,100.0,100.0,0.0,1,19.0,8.0,30.0,2,0,0,1,0.0,0.0
107,7.074829787015915,0.1414965957403183,50,2,3,0,,0.58,0.42000000000000004,100,13,8,0,5.3541259765625,13.0,100.0,100.0,100.0,0.0,1,19.0,7.0,31.0,2,0,0,1,0.0,0.0
108,7.074829787015915,0.1414965957403183,50,2,4,0,,0.56,0.43999999999999995,100,13,9,0,5.436502456665039,13.0,100.0,100.0,100.0,0.0,1,13.0,4.0,30.0,3,0,0,1,0.0,0.0
109,7.074829787015915,0.1414965957403183,50,2,4,0,,0.58,0.42000000000000004,100,14,7,0,5.715476036071777,14.0,100.0,100.0,100.0,0.0,1,12.666666666666666,3.0,31.0,3,0,0,1,0.0,0.0
110,7.891156300902367,0.15782312601804732,50,2,3,0,,0.6,0.4,100,13,7,0,5.312459468841553,13.0,100.0,100.0,100.0,0.0,1,18.0,6.0,30.0,2,0,0,1,0.0,0.0
111,7.891156300902367,0.15782312601804732,50,3,4,1,42.0,0.62,0.38,100,10,8,1,3.858612298965454,9.0,100.0,100.0,100.0,0.0,1,14.0,4.0,30.0,2,0,1,1,0.0,0.0
