episode,reward,reward_per_step,steps,rooms,charges,full_coverage,full_coverage_step,time_in_C,time_out_C,min_battery,hab1_visits,hab2_visits,hab3_visits,room_std,room_spread,recharge_battery_mean,recharge_battery_min,recharge_battery_max,recharge_battery_std,first_recharge_step,recharge_gap_mean,recharge_gap_min,recharge_gap_max,recharge_from_hab1,recharge_from_hab2,recharge_from_hab3,recharge_from_other,mean_action_elapsed_s,episode_elapsed_s
11,4.891666693054139,0.09783333386108278,50,3,8,1,35,0.28,0.72,100.0,18,13,5,5.3541259765625,13.0,100.0,100.0,100.0,0.0,13,5.0,2.0,16.0,2,1,5,0,2.564999999997667,128.24999999988336
12,4.266938776224851,0.08533877552449702,50,3,12,1,23,0.28,0.72,100.0,15,12,9,2.4494898319244385,6.0,100.0,100.0,100.0,0.0,8,3.8181818181818183,2.0,8.0,3,5,4,0,2.795999999997457,139.79999999987285
13,4.266938776224851,0.08533877552449702,50,3,12,1,26,0.24,0.76,100.0,15,13,10,2.054804563522339,5.0,100.0,100.0,100.0,0.0,8,3.6363636363636362,2.0,8.0,3,7,2,0,2.8529999999974054,142.64999999987026
14,4.364897966831922,0.08729795933663845,50,3,14,1,26,0.28,0.72,100.0,15,12,9,2.4494898319244385,6.0,100.0,100.0,100.0,0.0,8,3.230769230769231,2.0,8.0,4,7,3,0,3.167999999997119,158.39999999985594
15,4.799074113741517,0.09598148227483033,50,3,9,1,30,0.2,0.8,100.0,17,14,9,3.2998316287994385,8.0,100.0,100.0,100.0,0.0,10,4.875,2.0,11.0,3,4,2,0,2.6159999999976207,130.79999999988104
16,4.266938776224851,0.08533877552449702,50,3,10,1,27,0.32,0.6799999999999999,100.0,16,9,9,3.2998316287994385,7.0,100.0,100.0,100.0,0.0,8,4.444444444444445,2.0,8.0,4,4,2,0,2.786999999997465,139.34999999987326
17,4.660185223817825,0.0932037044763565,50,3,8,1,27,0.2,0.8,100.0,17,15,8,3.858612298965454,9.0,100.0,100.0,100.0,0.0,10,5.285714285714286,3.0,8.0,3,5,0,0,2.9459999999973205,147.29999999986603
18,4.799074113741517,0.09598148227483033,50,3,9,1,26,0.26,0.74,100.0,16,14,7,3.858612298965454,9.0,100.0,100.0,100.0,0.0,10,4.875,3.0,8.0,3,4,2,0,2.7689999999974817,138.44999999987408
19,4.799074113741517,0.09598148227483033,50,3,9,1,35,0.3,0.7,100.0,14,16,5,4.784233570098877,11.0,100.0,100.0,100.0,0.0,8,5.125,2.0,16.0,4,3,2,0,2.6129999999976237,130.64999999988117
20,4.364897966831922,0.08729795933663845,50,3,13,1,26,0.3,0.7,100.0,13,14,8,2.624669313430786,6.0,100.0,100.0,100.0,0.0,11,3.25,2.0,6.0,4,6,3,0,3.0659999999972114,153.29999999986057
21,4.413877562135458,0.08827755124270915,50,3,10,1,26,0.36,0.64,100.0,14,10,8,2.4944381713867188,6.0,100.0,100.0,100.0,0.0,8,4.111111111111111,2.0,8.0,4,2,4,0,2.837999999997419,141.89999999987094
22,4.413877562135458,0.08827755124270915,50,3,10,1,26,0.32,0.6799999999999999,100.0,16,10,8,3.399346113204956,8.0,100.0,100.0,100.0,0.0,10,3.888888888888889,2.0,11.0,1,5,4,0,2.408999999997809,120.44999999989045
23,4.799074113741517,0.09598148227483033,50,3,7,1,31,0.2,0.8,100.0,16,15,9,3.0912060737609863,7.0,100.0,100.0,100.0,0.0,8,6.833333333333333,3.0,16.0,2,5,0,0,2.7629999999974872,138.14999999987435
24,4.7990740858018395,0.09598148171603679,50,3,8,1,37,0.22,0.78,100.0,15,15,9,2.8284270763397217,6.0,100.0,100.0,100.0,0.0,8,5.857142857142857,2.0,19.0,4,0,4,0,2.5709999999976616,128.54999999988308
25,4.266938776224851,0.08533877552449702,50,3,10,1,26,0.26,0.74,100.0,16,13,8,3.2998316287994385,8.0,100.0,100.0,100.0,0.0,8,4.666666666666667,2.0,11.0,1,7,2,0,2.849999999997408,142.4999999998704
